"Goods and services","Aimag","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10","2019-11","2019-12","2020-01","2020-02","2020-03","2020-04","2020-05","2020-06","2020-07","2020-08","2020-09","2020-10","2020-11","2020-12","2021-01","2021-02"
"Rice, kg","Ulaanbaatar","1,770","1,740","1,705","1,705","1,700","1,675","1,670","1,655","1,655","1,645","1,655","1,655","1,655","1,670","1,680","1,670","1,660","1,670","1,700","1,695","1,735","1,735","1,720","1,720","1,735","1,725","1,725","1,735","1,728","1,650","1,650","1,675","1,745","1,890","2,290","2,265","2,270","2,270","2,340","2,350","2,350","2,345","2,345","2,330","2,330","2,347","2,365","2,365","2,365","2,319","2,319","2,319","2,322","2,334","2,334","2,334","2,374","2,394","2,482","2,477","2,473","2,487","2,482","2,477","2,477","2,477","2,477","2,483","2,510","2,534","2,534","2,591","2,673","2,615","2,615","2,622","2,694","2,641","2,645","2,678","2,648","2,649","2,660","2,660","2,660","2,660","2,705","2,705","2,727","2,850","2,852","2,780","2,777","2,805","2,805","3,026","3,265","3,323","3,440","3,470","3,470","3,502","3,509","3,509","3,540","3,560","3,533","3,724","3,800","3,789","3,734","3,710","3,666","3,633","3,618","3,626","3,578","3,569","3,649","3,668","3,663","3,669","3,671"
"Bread, sliced, pieces","Ulaanbaatar","634","634","634","634","634","650","650","650","650","650","650","650","650","650","650","660","665","665","665","665","665","665","665","665","665","665","710","822","822","825","825","825","825","825","835","840","840","840","840","840","845","850","850","1,070","1,070","1,070","1,070","1,065","1,065","1,063","1,063","1,063","1,072","1,078","1,078","1,078","1,120","1,134","1,135","1,140","1,148","1,148","1,148","1,148","1,148","1,148","1,148","1,153","1,176","1,158","1,147","1,152","1,159","1,165","1,165","1,165","1,166","1,180","1,172","1,172","1,173","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,172","1,170","1,170","1,165","1,162","1,160","1,160","1,162","1,230","1,250","1,251","1,251","1,251","1,265","1,274","1,300","1,308","1,303","1,303","1,303","1,288","1,287","1,289","1,295","1,297","1,288","1,288","1,282","1,294","1,290","1,291","1,284","1,280","1,280","1,280"
"Biscuits,150-180 g, imported","Ulaanbaatar","450","450","450","450","450","450","450","450","450","450","450","450","450","490","490","495","500","510","510","510","510","510","510","520","520","520","520","540","555","555","555","565","565","580","595","595","630","630","630","630","665","670","681.89","682","682","682","693.75","693.75","693.75","705","705","709","709","709","704","704","708","708","708","713","723","725","729","728","728","728","728","729","729","729","723","740","765","807","807","803","829","832","818","817","818","821","821","820","820","820","821","821","825","850","849","845","849","850","851","861","868","880","880","895","875","885","904","895","907","907","909","909","912","912","912","914","915","915","915","916","916","925","925","930","930","930","941"
"Flour, first grade, packaged, kg, domestic","Ulaanbaatar","730","740","745","750","720","715","722","722","722","720","710","700","700","700","700","705","686","690","680","695","700","700","700","700","700","720","720","710","716","716","725","725","725","735","735","745","760","770","770","770","800","885","910","1,000","1,010","1,010","1,010","1,005","1,017","978","978","976","974","974","974","983","1,021","1,036","1,035","1,035","1,035","1,070","1,070","1,064","1,064","1,058","1,058","1,056","1,056","1,053","1,053","1,063","1,050","1,032","1,025","997","995","974","970","999","1,067","1,075","1,075","1,075","1,075","1,075","1,075","1,075","1,070","1,065","1,057","1,050","1,047","1,045","1,045","1,049","1,060","1,058","1,058","1,060","1,061","1,058","1,087","1,112","1,090","1,090","1,103","1,090","1,157","1,175","1,181","1,181","1,173","1,160","1,157","1,165","1,214","1,263","1,285","1,295","1,304","1,304","1,304"
"Flour, second grade, packaged, kg, domestic","Ulaanbaatar","595","595","595","600","600","600","600","600","600","600","600","590","580","590","597","585","585","570","555","575","590","590","585","590","595","595","595","572","565","574","565","560","570","585","590","590","595","595","600","600","610","645","660","760","810","810","810","826.25","826","805","812","820","820","809","805","806","828","842","816","810","810","810","810","810","815","820","820","820","821","812","809","830","830","826","830","810","805","796","795","818","866","870","870","870","870","870","870","870","870","870","869","865","860","860","860","861","865","865","865","865","865","868","869","881","886","886","886","886","915","921","915","918","923","928","928","928","931","935","944","975","992","992","992"
"Millet, plain, kg, imported","Ulaanbaatar","1,587","1,625","1,640","1,645","1,610","1,585","1,625","1,620","1,625","1,615","1,615","1,615","1,615","1,610","1,620","1,590","1,580","1,590","1,590","1,590","1,630","1,640","1,640","1,635","1,635","1,635","1,640","1,640","1,600","1,530","1,530","1,530","1,540","1,545","1,575","1,560","1,565","1,575","1,575","1,575","1,665","1,640","1,764.05","1,707","1,706.81","1,706.81","1,707","1,707","1,707","1,706","1,706","1,707","1,707","1,707","1,671","1,671","1,670","1,670","1,670","1,684","1,692","1,694","1,668","1,668","1,668","1,668","1,668","1,671","1,671","1,611","1,672","1,579","1,509","1,509","1,509","1,611","1,611","1,632","1,597","1,597","1,653","1,653","1,615","1,631","1,612","1,669","1,693","1,723","1,726","1,780","1,980","1,973","2,029","1,979","1,981","2,029","2,080","2,160","2,160","2,253","2,297","2,297","2,324","2,441","2,474","2,515","2,519","2,519","2,520","2,459","2,459","2,459","2,459","2,545","2,614","2,614","2,614","2,614","2,614","2,627","2,627","2,627","2,627"
"Beef, with bones, kg","Ulaanbaatar","4,060","4,800","4,800","4,405","4,235","4,665","4,785","4,915","4,750","4,760","4,670","4,695","4,850","5,430","6,650","7,365","7,630","7,750","8,180","8,070","7,850","7,395","7,020","6,980","7,170","7,337","8,025","7,895","8,330","8,380","8,270","8,230","7,710","7,825","7,250","7,116","7,280","7,980","8,350","8,440","8,370","8,685","8,730","7,810","7,591.25","7,633","7,550","7,490","7,465","8,090","8,132","8,236","8,514","8,562","8,662","8,476","8,086","7,728","6,890","6,524","6,389","6,625","7,222","7,396","8,634","8,768","8,439","7,869","7,321","6,662","5,881","5,862","6,063","6,775","7,399","7,779","7,986","8,229","7,901","7,835","7,373","7,251","6,946","6,708","6,504","6,610","7,111","7,729","8,361","8,463","8,733","9,082","8,218","7,781","7,844","8,002","8,300","8,855","8,901","9,376","9,637","10,904","11,702","12,280","11,537","11,373","11,138","10,103","9,554","10,524","11,412","11,660","11,735","11,939","12,640","12,758","11,751","11,237","10,684","11,074","11,208","11,614","12,606"
"Beef, without bones, kg","Ulaanbaatar","4,640","5,380","5,415","5,070","4,845","5,160","5,290","5,515","5,365","5,265","5,250","5,280","5,445","6,080","7,400","8,505","8,665","9,110","9,300","9,260","8,870","8,460","8,285","8,140","8,245","8,454","9,000","9,300","9,970","9,970","9,920","9,890","9,600","9,565","9,150","8,751","8,860","9,830","9,840","9,970","10,470","10,730","10,780","9,610","8,835","9,410","9,716","9,520","9,395","9,742","9,781","9,840","10,347","10,691","10,894","10,600","9,545","9,248","8,419","7,828","7,603","7,930","8,419","8,638","9,976","10,123","9,946","9,466","8,667","8,011","7,271","7,231","7,524","8,230","8,583","9,004","9,345","9,436","9,301","9,110","8,515","8,371","8,279","8,165","7,975","8,001","8,464","9,277","10,016","10,188","10,535","10,814","9,981","9,480","9,360","9,349","10,000","10,794","11,062","11,293","11,801","13,172","14,230","14,599","13,873","14,289","14,209","13,257","11,742","12,473","13,301","13,753","13,760","14,436","15,105","15,077","13,664","13,011","12,661","12,951","12,551","12,917","14,435"
"Mutton, with bones, kg","Ulaanbaatar","3,710","4,205","4,250","3,810","3,610","4,105","4,040","4,244","4,255","4,325","4,135","4,100","4,405","4,985","5,905","7,025","7,015","7,190","7,200","7,600","7,200","6,915","6,230","6,130","6,250","6,478","7,095","7,060","7,420","7,490","7,470","7,420","6,710","6,540","6,215","6,083","6,250","6,850","7,400","7,560","7,630","7,800","7,685","6,960","6,585","6,392","5,965","5,836","5,825","6,778","6,925","7,272","7,837","7,973","7,858","7,384","6,887","6,293","5,463","4,946","4,625","5,247","5,997","6,408","7,381","7,335","7,029","6,575","6,139","5,645","4,871","4,443","4,864","5,648","6,026","6,669","7,079","7,235","6,698","6,636","6,393","6,208","5,759","5,379","5,141","5,232","5,943","6,533","7,289","7,488","7,514","7,533","6,977","6,412","6,437","6,689","6,692","7,156","7,324","7,938","8,710","9,777","10,432","10,042","9,701","9,641","9,282","7,708","7,486","8,590","9,593","9,763","9,836","10,125","10,385","10,648","9,864","9,169","8,551","8,632","8,579","9,034","10,459"
"Goat meat, with bones, kg","Ulaanbaatar","2,590","3,165","3,395","3,260","2,805","3,045","3,050","3,180","3,260","3,270","3,265","3,250","3,415","4,135","4,460","5,565","5,480","5,530","5,815","5,855","5,840","5,750","5,010","4,750","4,705","5,144","5,840","5,850","6,155","6,150","6,090","6,050","5,830","5,950","5,430","4,876","5,020","5,550","5,670","5,720","5,650","5,780","6,080","6,200","5,738.75","5,623","5,315","4,980","4,735","4,931","5,012","5,558","6,234","6,312","6,343","5,889","5,382","4,830","3,995","3,631","3,340","3,621","4,204","4,743","5,256","5,369","5,225","5,407","4,892","4,500","3,849","3,540","3,667","4,300","4,379","4,664","4,981","5,181","4,918","4,821","4,513","4,435","4,131","3,779","3,548","3,612","4,067","4,685","5,261","5,039","5,188","5,504","5,244","4,700","4,815","4,973","5,319","5,809","5,966","6,020","6,399","7,747","8,724","8,487","8,399","8,399","7,801","6,290","6,216","7,203","7,864","7,903","7,754","8,052","8,473","8,359","8,219","7,612","7,283","6,922","7,196","7,748","8,746"
