month,cpi
1/1/2006,56.2
2/1/2006,56.6
3/1/2006,56.7
4/1/2006,58.1
5/1/2006,58.7
6/1/2006,58.8
7/1/2006,58.8
8/1/2006,58.1
9/1/2006,58.3
10/1/2006,58.4
11/1/2006,58.6
12/1/2006,59.1
1/1/2007,59.2
2/1/2007,60.2
3/1/2007,60.8
4/1/2007,61.6
5/1/2007,62.1
6/1/2007,62.3
7/1/2007,62.6
8/1/2007,64.3
9/1/2007,65.6
10/1/2007,67
11/1/2007,68.3
12/1/2007,69.6
1/1/2008,71
2/1/2008,72.9
3/1/2008,75.4
4/1/2008,79.7
5/1/2008,83.1
6/1/2008,83.2
7/1/2008,83.2
8/1/2008,86.3
9/1/2008,86.7
10/1/2008,85.7
11/1/2008,84.9
12/1/2008,84.9
1/1/2009,85.6
2/1/2009,86.1
3/1/2009,87.7
4/1/2009,89.6
5/1/2009,89.7
6/1/2009,88.5
7/1/2009,87.3
8/1/2009,86.8
9/1/2009,86.7
10/1/2009,86.5
11/1/2009,87.9
12/1/2009,88.5
1/1/2010,90.5
2/1/2010,93.3
3/1/2010,95.1
4/1/2010,97.1
5/1/2010,100.2
6/1/2010,98.6
7/1/2010,95.8
8/1/2010,96.5
9/1/2010,95.9
10/1/2010,96.2
11/1/2010,97.6
12/1/2010,100
1/1/2011,101.5
2/1/2011,102
3/1/2011,101.6
4/1/2011,101.6
5/1/2011,103.1
6/1/2011,104.3
7/1/2011,105
8/1/2011,105.3
9/1/2011,106.5
10/1/2011,106.9
11/1/2011,107.7
12/1/2011,108.9
1/1/2012,111.8
2/1/2012,114.7
3/1/2012,117.2
4/1/2012,117.8
5/1/2012,119
6/1/2012,119.6
7/1/2012,120.2
8/1/2012,121
9/1/2012,122.3
10/1/2012,123
11/1/2012,123.2
12/1/2012,124.2
1/1/2013,126.4
2/1/2013,127.7
3/1/2013,128.7
4/1/2013,130.2
5/1/2013,130.5
6/1/2013,130.1
7/1/2013,130.3
8/1/2013,132.4
9/1/2013,134.3
10/1/2013,136.2
11/1/2013,137.9
12/1/2013,139.7
1/1/2014,141.4
2/1/2014,142.7
3/1/2014,143.9
4/1/2014,145.4
5/1/2014,147.6
6/1/2014,148.4
7/1/2014,149
8/1/2014,149.7
9/1/2014,150.8
10/1/2014,151.9
11/1/2014,153
12/1/2014,154.3
1/1/2015,155.3
2/1/2015,156
3/1/2015,157.3
4/1/2015,158.8
5/1/2015,159.4
6/1/2015,159.3
7/1/2015,159.3
8/1/2015,159.5
9/1/2015,158.2
10/1/2015,157.2
11/1/2015,157.6
12/1/2015,157.2
1/1/2016,158
2/1/2016,159.1
3/1/2016,159.9
4/1/2016,162.1
5/1/2016,162.3
6/1/2016,161.8
7/1/2016,160.8
8/1/2016,159.1
9/1/2016,158.1
10/1/2016,157.1
11/1/2016,157.8
12/1/2016,159
1/1/2017,160.5
2/1/2017,161.8
3/1/2017,163.7
4/1/2017,165.6
5/1/2017,166.5
6/1/2017,165.6
7/1/2017,165.7
8/1/2017,167
9/1/2017,167.4
10/1/2017,168.1
11/1/2017,168.3
12/1/2017,169.2
1/1/2018,171.8
2/1/2018,173.2
3/1/2018,174.8
4/1/2018,175.9
5/1/2018,177
6/1/2018,177.8
7/1/2018,178.8
8/1/2018,177.3
9/1/2018,177.3
10/1/2018,179
11/1/2018,182.2
12/1/2018,183.3
1/1/2019,184.3
2/1/2019,185.2
